"activo","q","hq"
"bitcoin",-4,0.9545
"bitcoin",-3,0.8823
"bitcoin",-2,0.7911
"bitcoin",-1,0.7027
"bitcoin",1,0.5821
"bitcoin",2,0.5382
"bitcoin",3,0.4974
"bitcoin",4,0.4588
"bovespa",-4,0.7541
"bovespa",-3,0.708
"bovespa",-2,0.6528
"bovespa",-1,0.6016
"bovespa",1,0.538
"bovespa",2,0.5114
"bovespa",3,0.4798
"bovespa",4,0.4446
"ibex35",-4,0.8238
"ibex35",-3,0.758
"ibex35",-2,0.6717
"ibex35",-1,0.6022
"ibex35",1,0.5295
"ibex35",2,0.4964
"ibex35",3,0.4602
"ibex35",4,0.4242
"oro",-4,0.776
"oro",-3,0.7159
"oro",-2,0.646
"oro",-1,0.5882
"oro",1,0.5172
"oro",2,0.4884
"oro",3,0.4599
"oro",4,0.4326
"sp500",-4,0.7312
"sp500",-3,0.6838
"sp500",-2,0.6255
"sp500",-1,0.571
"sp500",1,0.5019
"sp500",2,0.4743
"sp500",3,0.4445
"sp500",4,0.4142
"tesla",-4,0.8544
"tesla",-3,0.7971
"tesla",-2,0.7151
"tesla",-1,0.6378
"tesla",1,0.5676
"tesla",2,0.539
"tesla",3,0.5106
"tesla",4,0.4834
