"activo","q","hq"
"bitcoin",-4,1.3865
"bitcoin",-3,1.3277
"bitcoin",-2,1.2346
"bitcoin",-1,1.1077
"bitcoin",0,0.9813
"bitcoin",1,0.8488
"bitcoin",2,0.6786
"bitcoin",3,0.5293
"bitcoin",4,0.4347
"ibex35",-4,0.9044
"ibex35",-3,0.8986
"ibex35",-2,0.9069
"ibex35",-1,0.9436
"ibex35",0,0.9976
"ibex35",1,0.9769
"ibex35",2,0.8378
"ibex35",3,0.7125
"ibex35",4,0.6355
"oro",-4,0.8728
"oro",-3,0.8534
"oro",-2,0.848
"oro",-1,0.8701
"oro",0,0.8968
"oro",1,0.8774
"oro",2,0.7846
"oro",3,0.6824
"oro",4,0.6097
"sp500",-4,1.0206
"sp500",-3,0.9929
"sp500",-2,0.9742
"sp500",-1,0.9824
"sp500",0,1.0312
"sp500",1,1.058
"sp500",2,0.9356
"sp500",3,0.8041
"sp500",4,0.7189
"bovespa",-4,1.0685
"bovespa",-3,1.0404
"bovespa",-2,1.009
"bovespa",-1,0.977
"bovespa",0,0.9589
"bovespa",1,0.9633
"bovespa",2,0.8672
"bovespa",3,0.7446
"bovespa",4,0.6664
"tesla",-4,1.03
"tesla",-3,0.9951
"tesla",-2,0.9539
"tesla",-1,0.9072
"tesla",0,0.8494
"tesla",1,0.7776
"tesla",2,0.7059
"tesla",3,0.6498
"tesla",4,0.6111
